url,file,robots,change_scope
https://www.driverightcarbuying.com/about.html,about.html,"index, follow",national commercial copy and metadata; current offers; template loading order where applicable
https://www.driverightcarbuying.com/ai-car-buying-agent.html,ai-car-buying-agent.html,"noindex, follow",retired acquisition; 308 to schedule; noindexed static fallback
https://www.driverightcarbuying.com/auto-financing-credit-fi.html,auto-financing-credit-fi.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,blog-buy-new-car-below-msrp.html,"noindex, follow",prior contained editorial body; authorized CTA; unchanged GTM moved after CSS; proposed revisions remain private
https://www.driverightcarbuying.com/blog-dealership-addons-complete-guide.html,blog-dealership-addons-complete-guide.html,"noindex, follow",prior contained editorial body; authorized CTA; unchanged GTM moved after CSS; proposed revisions remain private
https://www.driverightcarbuying.com/blog-depreciation-myth-20-percent.html,blog-depreciation-myth-20-percent.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-flat-fees-vs-commissions.html,blog-flat-fees-vs-commissions.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-high-demand-vehicles-msrp.html,blog-high-demand-vehicles-msrp.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-mazda-secret.html,blog-mazda-secret.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-myth-brand-reliability.html,blog-myth-brand-reliability.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-new-vs-near-new.html,blog-new-vs-near-new.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog-used-car-inspection-checklist.html,blog-used-car-inspection-checklist.html,"noindex, follow",prior contained editorial body; authorized CTA; unchanged GTM moved after CSS; proposed revisions remain private
https://www.driverightcarbuying.com/blog-used-ev-pros-cons-risks.html,blog-used-ev-pros-cons-risks.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/blog.html,blog.html,"index, follow",national commercial copy and metadata; current offers; template loading order where applicable
https://www.driverightcarbuying.com/how-it-works.html,how-it-works.html,"index, follow",national commercial copy and metadata; current offers; template loading order where applicable
https://www.driverightcarbuying.com/,index.html,"index, follow",national commercial copy and metadata; current offers; template loading order where applicable
https://www.driverightcarbuying.com/new-car-pricing-incentives.html,new-car-pricing-incentives.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/payment-success-concierge.html,payment-success-concierge.html,"noindex, follow",historical paid receipt copy; verification route retained
https://www.driverightcarbuying.com/payment-success-consultant.html,payment-success-consultant.html,"noindex, follow",historical paid receipt copy; verification route retained
https://www.driverightcarbuying.com/payment-success-fullservice.html,payment-success-fullservice.html,"noindex, follow",historical paid receipt copy; verification route retained
https://www.driverightcarbuying.com/payment-success.html,payment-success.html,"noindex, follow",historical paid receipt copy; verification route retained
https://www.driverightcarbuying.com/policy.html,policy.html,"index, follow",authorized prices and retired-service references only; unresolved terms review retained
https://www.driverightcarbuying.com/schedule.html,schedule.html,"index, follow",national commercial copy and metadata; current offers; template loading order where applicable
https://www.driverightcarbuying.com/tesla-fsd-for-sale.html,tesla-fsd-for-sale.html,"noindex, follow",unsupported-claim containment; sitemap exclusion; noindex warning
https://www.driverightcarbuying.com/texas-car-buying-rules-paperwork.html,texas-car-buying-rules-paperwork.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/texas-local-market-intelligence.html,texas-local-market-intelligence.html,"index, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/used-car-due-diligence.html,used-car-due-diligence.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
https://www.driverightcarbuying.com/vehicle-selection-total-cost.html,vehicle-selection-total-cost.html,"noindex, follow",current service/acquisition links or price CTA only; existing editorial status retained
