source_file,target_file,link_count,source_indexable,observed_on
about.html,arlington.html,1,true,2026-09-16
about.html,austin.html,1,true,2026-09-16
about.html,dallas.html,1,true,2026-09-16
about.html,el-paso.html,1,true,2026-09-16
about.html,fort-worth.html,1,true,2026-09-16
about.html,houston.html,1,true,2026-09-16
about.html,new-braunfels.html,1,true,2026-09-16
about.html,san-antonio.html,1,true,2026-09-16
about.html,san-marcos.html,1,true,2026-09-16
arlington.html,arlington.html,4,false,2026-09-16
arlington.html,austin.html,1,false,2026-09-16
arlington.html,dallas.html,1,false,2026-09-16
arlington.html,el-paso.html,1,false,2026-09-16
arlington.html,fort-worth.html,1,false,2026-09-16
arlington.html,houston.html,1,false,2026-09-16
arlington.html,new-braunfels.html,1,false,2026-09-16
arlington.html,san-antonio.html,1,false,2026-09-16
arlington.html,san-marcos.html,1,false,2026-09-16
austin.html,arlington.html,1,false,2026-09-16
austin.html,austin.html,4,false,2026-09-16
austin.html,dallas.html,1,false,2026-09-16
austin.html,el-paso.html,1,false,2026-09-16
austin.html,fort-worth.html,1,false,2026-09-16
austin.html,houston.html,1,false,2026-09-16
austin.html,new-braunfels.html,1,false,2026-09-16
austin.html,san-antonio.html,1,false,2026-09-16
austin.html,san-marcos.html,1,false,2026-09-16
blog-best-auto-loan-rate-texas.html,arlington.html,1,false,2026-09-16
blog-best-auto-loan-rate-texas.html,austin.html,2,false,2026-09-16
blog-best-auto-loan-rate-texas.html,dallas.html,2,false,2026-09-16
blog-best-auto-loan-rate-texas.html,el-paso.html,1,false,2026-09-16
blog-best-auto-loan-rate-texas.html,fort-worth.html,1,false,2026-09-16
blog-best-auto-loan-rate-texas.html,houston.html,2,false,2026-09-16
blog-best-auto-loan-rate-texas.html,new-braunfels.html,1,false,2026-09-16
blog-best-auto-loan-rate-texas.html,san-antonio.html,1,false,2026-09-16
blog-best-auto-loan-rate-texas.html,san-marcos.html,1,false,2026-09-16
blog-best-cars-texas-families.html,arlington.html,1,false,2026-09-16
blog-best-cars-texas-families.html,austin.html,1,false,2026-09-16
blog-best-cars-texas-families.html,dallas.html,1,false,2026-09-16
blog-best-cars-texas-families.html,el-paso.html,1,false,2026-09-16
blog-best-cars-texas-families.html,fort-worth.html,1,false,2026-09-16
blog-best-cars-texas-families.html,houston.html,1,false,2026-09-16
blog-best-cars-texas-families.html,new-braunfels.html,1,false,2026-09-16
blog-best-cars-texas-families.html,san-antonio.html,1,false,2026-09-16
blog-best-cars-texas-families.html,san-marcos.html,1,false,2026-09-16
blog-best-cars-under-30k.html,arlington.html,1,false,2026-09-16
blog-best-cars-under-30k.html,austin.html,1,false,2026-09-16
blog-best-cars-under-30k.html,dallas.html,1,false,2026-09-16
blog-best-cars-under-30k.html,el-paso.html,1,false,2026-09-16
blog-best-cars-under-30k.html,fort-worth.html,1,false,2026-09-16
blog-best-cars-under-30k.html,houston.html,1,false,2026-09-16
blog-best-cars-under-30k.html,new-braunfels.html,1,false,2026-09-16
blog-best-cars-under-30k.html,san-antonio.html,1,false,2026-09-16
blog-best-cars-under-30k.html,san-marcos.html,1,false,2026-09-16
blog-best-dealerships-austin.html,arlington.html,1,false,2026-09-16
blog-best-dealerships-austin.html,austin.html,3,false,2026-09-16
blog-best-dealerships-austin.html,dallas.html,1,false,2026-09-16
blog-best-dealerships-austin.html,el-paso.html,1,false,2026-09-16
blog-best-dealerships-austin.html,fort-worth.html,1,false,2026-09-16
blog-best-dealerships-austin.html,houston.html,1,false,2026-09-16
blog-best-dealerships-austin.html,new-braunfels.html,1,false,2026-09-16
blog-best-dealerships-austin.html,san-antonio.html,1,false,2026-09-16
blog-best-dealerships-austin.html,san-marcos.html,1,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,arlington.html,3,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,austin.html,1,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,dallas.html,3,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,el-paso.html,1,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,fort-worth.html,3,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,houston.html,1,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,new-braunfels.html,1,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,san-antonio.html,1,false,2026-09-16
blog-best-dealerships-dallas-fort-worth.html,san-marcos.html,1,false,2026-09-16
blog-best-dealerships-houston.html,arlington.html,1,false,2026-09-16
blog-best-dealerships-houston.html,austin.html,1,false,2026-09-16
blog-best-dealerships-houston.html,dallas.html,1,false,2026-09-16
blog-best-dealerships-houston.html,el-paso.html,1,false,2026-09-16
blog-best-dealerships-houston.html,fort-worth.html,1,false,2026-09-16
blog-best-dealerships-houston.html,houston.html,2,false,2026-09-16
blog-best-dealerships-houston.html,new-braunfels.html,1,false,2026-09-16
blog-best-dealerships-houston.html,san-antonio.html,1,false,2026-09-16
blog-best-dealerships-houston.html,san-marcos.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,arlington.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,austin.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,dallas.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,el-paso.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,fort-worth.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,houston.html,1,false,2026-09-16
blog-best-dealerships-san-antonio.html,new-braunfels.html,5,false,2026-09-16
blog-best-dealerships-san-antonio.html,san-antonio.html,3,false,2026-09-16
blog-best-dealerships-san-antonio.html,san-marcos.html,3,false,2026-09-16
blog-best-first-cars-texas.html,arlington.html,1,false,2026-09-16
blog-best-first-cars-texas.html,austin.html,1,false,2026-09-16
blog-best-first-cars-texas.html,dallas.html,1,false,2026-09-16
blog-best-first-cars-texas.html,el-paso.html,1,false,2026-09-16
blog-best-first-cars-texas.html,fort-worth.html,1,false,2026-09-16
blog-best-first-cars-texas.html,houston.html,1,false,2026-09-16
blog-best-first-cars-texas.html,new-braunfels.html,1,false,2026-09-16
blog-best-first-cars-texas.html,san-antonio.html,1,false,2026-09-16
blog-best-first-cars-texas.html,san-marcos.html,1,false,2026-09-16
blog-best-time-buy-car-texas.html,arlington.html,1,false,2026-09-16
blog-best-time-buy-car-texas.html,austin.html,2,false,2026-09-16
blog-best-time-buy-car-texas.html,dallas.html,2,false,2026-09-16
blog-best-time-buy-car-texas.html,el-paso.html,1,false,2026-09-16
blog-best-time-buy-car-texas.html,fort-worth.html,1,false,2026-09-16
blog-best-time-buy-car-texas.html,houston.html,3,false,2026-09-16
blog-best-time-buy-car-texas.html,new-braunfels.html,1,false,2026-09-16
blog-best-time-buy-car-texas.html,san-antonio.html,2,false,2026-09-16
blog-best-time-buy-car-texas.html,san-marcos.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,arlington.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,austin.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,dallas.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,el-paso.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,fort-worth.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,houston.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,new-braunfels.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,san-antonio.html,1,false,2026-09-16
blog-buy-new-car-below-msrp.html,san-marcos.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,arlington.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,austin.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,dallas.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,el-paso.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,fort-worth.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,houston.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,new-braunfels.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,san-antonio.html,1,false,2026-09-16
blog-car-history-beyond-carfax.html,san-marcos.html,1,false,2026-09-16
blog-cpo-vs-used.html,arlington.html,1,false,2026-09-16
blog-cpo-vs-used.html,austin.html,1,false,2026-09-16
blog-cpo-vs-used.html,dallas.html,1,false,2026-09-16
blog-cpo-vs-used.html,el-paso.html,1,false,2026-09-16
blog-cpo-vs-used.html,fort-worth.html,1,false,2026-09-16
blog-cpo-vs-used.html,houston.html,1,false,2026-09-16
blog-cpo-vs-used.html,new-braunfels.html,1,false,2026-09-16
blog-cpo-vs-used.html,san-antonio.html,1,false,2026-09-16
blog-cpo-vs-used.html,san-marcos.html,1,false,2026-09-16
blog-credit-score-car-buying.html,arlington.html,1,false,2026-09-16
blog-credit-score-car-buying.html,austin.html,1,false,2026-09-16
blog-credit-score-car-buying.html,dallas.html,1,false,2026-09-16
blog-credit-score-car-buying.html,el-paso.html,1,false,2026-09-16
blog-credit-score-car-buying.html,fort-worth.html,1,false,2026-09-16
blog-credit-score-car-buying.html,houston.html,1,false,2026-09-16
blog-credit-score-car-buying.html,new-braunfels.html,1,false,2026-09-16
blog-credit-score-car-buying.html,san-antonio.html,1,false,2026-09-16
blog-credit-score-car-buying.html,san-marcos.html,1,false,2026-09-16
blog-dealer-addons-exposed.html,arlington.html,1,false,2026-09-16
blog-dealer-addons-exposed.html,austin.html,2,false,2026-09-16
blog-dealer-addons-exposed.html,dallas.html,2,false,2026-09-16
blog-dealer-addons-exposed.html,el-paso.html,1,false,2026-09-16
blog-dealer-addons-exposed.html,fort-worth.html,1,false,2026-09-16
blog-dealer-addons-exposed.html,houston.html,2,false,2026-09-16
blog-dealer-addons-exposed.html,new-braunfels.html,1,false,2026-09-16
blog-dealer-addons-exposed.html,san-antonio.html,1,false,2026-09-16
blog-dealer-addons-exposed.html,san-marcos.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,arlington.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,austin.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,dallas.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,el-paso.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,fort-worth.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,houston.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,new-braunfels.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,san-antonio.html,1,false,2026-09-16
blog-dealer-vs-bank-financing.html,san-marcos.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,arlington.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,austin.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,dallas.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,el-paso.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,fort-worth.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,houston.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,new-braunfels.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,san-antonio.html,1,false,2026-09-16
blog-dealership-addons-complete-guide.html,san-marcos.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,arlington.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,austin.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,dallas.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,el-paso.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,fort-worth.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,houston.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,new-braunfels.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,san-antonio.html,1,false,2026-09-16
blog-depreciation-myth-20-percent.html,san-marcos.html,1,false,2026-09-16
blog-finance-department-scams.html,arlington.html,1,false,2026-09-16
blog-finance-department-scams.html,austin.html,1,false,2026-09-16
blog-finance-department-scams.html,dallas.html,1,false,2026-09-16
blog-finance-department-scams.html,el-paso.html,1,false,2026-09-16
blog-finance-department-scams.html,fort-worth.html,1,false,2026-09-16
blog-finance-department-scams.html,houston.html,1,false,2026-09-16
blog-finance-department-scams.html,new-braunfels.html,1,false,2026-09-16
blog-finance-department-scams.html,san-antonio.html,1,false,2026-09-16
blog-finance-department-scams.html,san-marcos.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,arlington.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,austin.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,dallas.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,el-paso.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,fort-worth.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,houston.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,new-braunfels.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,san-antonio.html,1,false,2026-09-16
blog-flat-fees-vs-commissions.html,san-marcos.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,arlington.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,austin.html,2,false,2026-09-16
blog-high-demand-vehicles-msrp.html,dallas.html,2,false,2026-09-16
blog-high-demand-vehicles-msrp.html,el-paso.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,fort-worth.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,houston.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,new-braunfels.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,san-antonio.html,1,false,2026-09-16
blog-high-demand-vehicles-msrp.html,san-marcos.html,1,false,2026-09-16
