canonical_url,source_file,page_type,primary_intent,topic_cluster,lifecycle_status,evidence_status,conversion_role,reviewer,review_date,redirect_destination,notes
https://www.driverightcarbuying.com/about.html,about.html,about,brand_trust,entity_and_experience,active_review_required,pending_founder_identity_and_experience_evidence,secondary_consultation,claims_reviewer,,,"Verify visible biography and schema-only claims from the same approved record"
https://www.driverightcarbuying.com/arlington.html,arlington.html,service_area,car_buying_service_arlington,texas_metros,contained_pending_unique_evidence,pending_local_proof_and_claim_review,none_while_contained,local_content_reviewer,,,"Service area only; do not represent a physical Arlington location"
https://www.driverightcarbuying.com/austin.html,austin.html,service_area,car_buying_service_austin,texas_metros,contained_pending_unique_evidence,local_sources_and_checkout_checked_logistics_demand_and_approval_pending,none_while_contained,local_content_reviewer,,,September 5 draft and release packet: docs/seo-release-preparation-2026-09-05.md. Austin base verified in local SEO record; no storefront; customer example optional if evidence and permission exist.
https://www.driverightcarbuying.com/blog-best-auto-loan-rate-texas.html,blog-best-auto-loan-rate-texas.html,article,auto_loan_comparison,financing,contained_pending_source_review,pending_primary_sources_and_financial_claim_review,none_while_contained,qualified_financial_reviewer,,,"Remove or substantiate rate-outcome language before promotion"
https://www.driverightcarbuying.com/blog-best-cars-texas-families.html,blog-best-cars-texas-families.html,article,family_vehicle_selection,vehicle_selection,contained_pending_source_review,pending_sources_and_experience_claim_review,none_while_contained,editor,,,"Vehicle recommendations need dated criteria and sources"
https://www.driverightcarbuying.com/blog-best-cars-under-30k.html,blog-best-cars-under-30k.html,article,budget_vehicle_selection,vehicle_selection,contained_pending_source_review,pending_price_refresh_and_experience_claim_review,none_while_contained,editor,,,"Price-sensitive recommendations need an as-of date and repeatable refresh method"
https://www.driverightcarbuying.com/blog-best-dealerships-austin.html,blog-best-dealerships-austin.html,article,dealer_research_austin,local_market_guides,contained_pending_source_review,pending_methodology_and_current_market_evidence,none_while_contained,editor,,,"Retitle away from best unless scoring evidence and refresh cadence are approved"
https://www.driverightcarbuying.com/blog-best-dealerships-dallas-fort-worth.html,blog-best-dealerships-dallas-fort-worth.html,article,dealer_research_dallas_fort_worth,local_market_guides,contained_pending_source_review,pending_methodology_and_current_market_evidence,none_while_contained,editor,,,"Also remove conflicting free-consultation copy unless an approved free offer exists"
https://www.driverightcarbuying.com/blog-best-dealerships-houston.html,blog-best-dealerships-houston.html,article,dealer_research_houston,local_market_guides,contained_pending_source_review,pending_methodology_and_current_market_evidence,none_while_contained,editor,,,"Retitle away from best unless scoring evidence and refresh cadence are approved"
https://www.driverightcarbuying.com/blog-best-dealerships-san-antonio.html,blog-best-dealerships-san-antonio.html,article,dealer_research_san_antonio,local_market_guides,contained_pending_source_review,pending_methodology_and_current_market_evidence,none_while_contained,editor,,,"Also remove conflicting free-consultation copy unless an approved free offer exists"
https://www.driverightcarbuying.com/blog-best-first-cars-texas.html,blog-best-first-cars-texas.html,article,first_car_selection,vehicle_selection,contained_pending_source_review,pending_safety_insurance_and_cost_sources,none_while_contained,editor,,,"Consequential safety and insurance claims require primary sources and dated review"
https://www.driverightcarbuying.com/blog-best-time-buy-car-texas.html,blog-best-time-buy-car-texas.html,article,purchase_timing,new_car_pricing,contained_pending_source_review,pending_discount_data_and_relationship_claim_review,none_while_contained,editor,,,"Separate seasonal evidence from service marketing and correct price CTA"
https://www.driverightcarbuying.com/blog-buy-new-car-below-msrp.html,blog-buy-new-car-below-msrp.html,article,new_car_quote_comparison,new_car_pricing,contained_pending_qualified_review,primary_sources_checked_2026_09_05_author_and_qualified_review_pending,none_while_contained,qualified_consumer_finance_reviewer,,,September 5 draft and release packet: docs/seo-release-preparation-2026-09-05.md. Direct draft link requested by owner; noindex retained. Original author Mason; revision acceptance pending.
https://www.driverightcarbuying.com/blog-car-history-beyond-carfax.html,blog-car-history-beyond-carfax.html,article,used_vehicle_history,used_car_due_diligence,contained_pending_source_review,pending_primary_sources,none_while_contained,editor,,,"Verify source hierarchy and avoid implying complete risk detection"
https://www.driverightcarbuying.com/blog-cpo-vs-used.html,blog-cpo-vs-used.html,article,cpo_comparison,used_car_due_diligence,contained_pending_source_review,pending_pricing_methodology_and_sources,none_while_contained,editor,,,"CPO premium and replacement-cost ranges need a dated dataset"
